,date,visitor_team,visitor_pts,home_team,home_pts,pred,winner,confidence,correct
151,2024-11-11,Cleveland Cavaliers,119.0,Chicago Bulls,113.0,Cleveland Cavaliers,Cleveland Cavaliers,0.7,1
152,2024-11-11,Washington Wizards,92.0,Houston Rockets,107.0,Houston Rockets,Houston Rockets,0.7777777777777778,1
153,2024-11-11,Brooklyn Nets,107.0,New Orleans Pelicans,105.0,Brooklyn Nets,Brooklyn Nets,0.625,1
154,2024-11-11,Los Angeles Clippers,128.0,Oklahoma City Thunder,134.0,Oklahoma City Thunder,Oklahoma City Thunder,0.5735294117647058,1
155,2024-11-11,Sacramento Kings,96.0,San Antonio Spurs,116.0,Sacramento Kings,San Antonio Spurs,0.575,0
156,2024-11-12,Atlanta Hawks,117.0,Boston Celtics,116.0,Boston Celtics,Atlanta Hawks,0.6595744680851063,0
157,2024-11-12,Miami Heat,121.0,Detroit Pistons,123.0,Detroit Pistons,Detroit Pistons,0.5151515151515151,1
158,2024-11-12,Charlotte Hornets,89.0,Orlando Magic,114.0,Orlando Magic,Orlando Magic,0.5135135135135135,1
159,2024-11-12,New York Knicks,111.0,Philadelphia 76ers,99.0,New York Knicks,New York Knicks,0.625,1
160,2024-11-12,Toronto Raptors,85.0,Milwaukee Bucks,99.0,Toronto Raptors,Milwaukee Bucks,0.6666666666666666,0
161,2024-11-12,Phoenix Suns,120.0,Utah Jazz,112.0,Phoenix Suns,Phoenix Suns,0.8043478260869565,1
162,2024-11-12,Dallas Mavericks,117.0,Golden State Warriors,120.0,Golden State Warriors,Golden State Warriors,0.6333333333333333,1
163,2024-11-12,Minnesota Timberwolves,108.0,Portland Trail Blazers,122.0,Minnesota Timberwolves,Portland Trail Blazers,0.6842105263157895,0
164,2024-11-13,Indiana Pacers,90.0,Orlando Magic,94.0,Indiana Pacers,Orlando Magic,0.5660377358490566,0
165,2024-11-13,Boston Celtics,139.0,Brooklyn Nets,114.0,Boston Celtics,Boston Celtics,0.6,1
166,2024-11-13,Chicago Bulls,124.0,New York Knicks,123.0,Chicago Bulls,Chicago Bulls,0.525,1
167,2024-11-13,New Orleans Pelicans,88.0,Oklahoma City Thunder,106.0,Oklahoma City Thunder,Oklahoma City Thunder,0.7936507936507936,1
168,2024-11-13,Cleveland Cavaliers,114.0,Philadelphia 76ers,106.0,Cleveland Cavaliers,Cleveland Cavaliers,0.8548387096774194,1
169,2024-11-13,Los Angeles Clippers,103.0,Houston Rockets,111.0,Houston Rockets,Houston Rockets,0.5230769230769231,1
170,2024-11-13,Detroit Pistons,120.0,Milwaukee Bucks,127.0,Detroit Pistons,Milwaukee Bucks,0.7857142857142857,0
171,2024-11-13,Washington Wizards,130.0,San Antonio Spurs,139.0,San Antonio Spurs,San Antonio Spurs,0.7142857142857143,1
172,2024-11-13,Memphis Grizzlies,123.0,Los Angeles Lakers,128.0,Los Angeles Lakers,Los Angeles Lakers,0.5192307692307693,1
173,2024-11-13,Minnesota Timberwolves,98.0,Portland Trail Blazers,106.0,Minnesota Timberwolves,Portland Trail Blazers,0.6,0
174,2024-11-13,Phoenix Suns,104.0,Sacramento Kings,127.0,Phoenix Suns,Sacramento Kings,0.6060606060606061,0
175,2024-11-14,Dallas Mavericks,113.0,Utah Jazz,115.0,Dallas Mavericks,Utah Jazz,0.7027027027027027,0
176,2024-11-15,Miami Heat,124.0,Indiana Pacers,111.0,Indiana Pacers,Miami Heat,0.6530612244897959,0
177,2024-11-15,Philadelphia 76ers,86.0,Orlando Magic,98.0,Orlando Magic,Orlando Magic,0.7567567567567568,1
178,2024-11-15,Detroit Pistons,99.0,Toronto Raptors,95.0,Detroit Pistons,Detroit Pistons,0.71875,1
